ATVI, Activision Blizzard Inc, 64.01, -0.25,-0.39, 5315578, -.2,
ADBE, Adobe Systems Incorporated, 151.1, -1.15,-0.76, 1352927, -.5,
AKAM, Akamai Technologies Inc., 45.42, -0.39,-0.85, 1141795, -.1,
ALXN, Alexion Pharmaceuticals Inc., 135.67, -2.53,-1.83, 1025682, -.5,
GOOG, Alphabet Inc., 927, 2.31,0.25, 1088568, .7,
GOOGL, Alphabet Inc., 942.58, 2.18,0.23, 1133160, .6,
AMZN, Amazon.com Inc., 958, -8.9,-0.92, 2642533, -3.7,
AAL, American Airlines Group Inc., 43.97, -1.44,-3.17, 8158191, -.6,
AMGN, Amgen Inc., 169, -1.07,-0.63, 1279323, -.7,
ADI, Analog Devices Inc., 79.07, -0.1,-0.13, 1597793, .0,
AAPL, Apple Inc., 159.98, 0.2,0.13, 19375419, .9,
AMAT, Applied Materials Inc., 44.02, -0.43,-0.97, 8480256, -.4,
ADSK, Autodesk Inc., 110.65, -0.36,-0.32, 1635035, -.1,
ADP, Automatic Data Processing Inc., 103.46, -0.26,-0.25, 8792860, -.1,
BIDU, Baidu Inc., 224.99, -1.12,-0.5, 1835455, -.3,
BIIB, Biogen Inc., 282.64, -4.08,-1.42, 1046764, -.8,
BMRN, BioMarin Pharmaceutical Inc., 81.4, -0.06,-0.07, 846164, .0,
AVGO, Broadcom Limited, 256.92, 1.73,0.68, 2788737, .6,
CA, CA Inc., 32.39, -0.12,-0.37, 2704987, .0,
CELG, Celgene Corporation, 129.19, -1.1,-0.84, 1996259, -.8,
CERN, Cerner Corporation, 64.77, -0.6,-0.92, 1387971, -.2,
CHTR, Charter Communications Inc., 390.33, -6.72,-1.69, 1280580, -1.6,
CHKP, Check Point Software Technologies Ltd., 108.06, -0.85,-0.78, 406669, -.1,
CTAS, Cintas Corporation, 134.05, -1.21,-0.89, 415833, -.1,
CSCO, Cisco Systems Inc., 30.92, -0.35,-1.12, 22433731, -1.5,
CTXS, Citrix Systems Inc., 75.29, -0.72,-0.95, 1109407, -.1,
CTSH, Cognizant Technology Solutions Corporation, 70.02, -0.13,-0.19, 2021408, -.1,
CMCSA, Comcast Corporation, 40.65, -0.7,-1.69, 11719804, -2.9,
COST, Costco Wholesale Corporation, 159.37, 0.67,0.42, 1730904, .3,
CSX, CSX Corporation, 48.87, -1.05,-2.1, 5171399, -.9,
CTRP, Ctrip.com International Ltd., 53.31, 0.8,1.52, 3848154, .3,
XRAY, DENTSPLY SIRONA Inc., 53.22, -0.47,-0.88, 1197734, -.1,
DISCA, Discovery Communications Inc., 22.49, 0,0, 2347516, .0,
DISCK, Discovery Communications Inc., 21.2, -0.02,-0.09, 2180908, .0,
DISH, DISH Network Corporation, 57.28, -0.17,-0.3, 1399974, .0,
DLTR, Dollar Tree Inc., 74.32, -0.63,-0.84, 4423999, -.1,
EBAY, eBay Inc., 34.89, 0.08,0.23, 6326628, .1,
EA, Electronic Arts Inc., 118.18, -0.85,-0.71, 1265849, -.2,
EXPE, Expedia Inc., 148.09, 0.48,0.33, 1706797, .1,
ESRX, Express Scripts Holding Company, 60.93, -0.69,-1.12, 2842328, -.4,
